content_id,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
1,No Time to Die,2021,7.6,107163,Action.Adventure.Thriller,163,Film,PG-13,1,Mild,Moderate,Mild,Mild,Moderate
2,The Guilty,2021,6.3,64375,Crime.Drama.Thriller,90,Film,R,1,None,None,Severe,None,Moderate
3,The Many Saints of Newark,2021,6.4,27145,Crime.Drama,120,Film,R,1,Moderate,Severe,Severe,Moderate,Moderate
4,Venom: Let There Be Carnage,2021,6.4,30443,Action.Adventure.Sci-Fi,97,Film,PG-13,1,None,Moderate,Moderate,Mild,Moderate
5,Dune,2021,8.3,84636,Action.Adventure.Drama,155,Film,PG-13,1,None,Moderate,None,Mild,Moderate
6,Ted Lasso,2021,8.8,117562,Comedy.Drama.Sport,30,Series,TV-MA,23,Mild,None,Severe,Mild,None
7,Free Guy,2021,7.3,153835,Action.Adventure.Comedy,115,Film,PG-13,1,Mild,Moderate,Moderate,None,Mild
8,House of the Dragon,2021,NULL,NULL,Action.Adventure.Drama,NULL,Series,NULL,10,No Rate,No Rate,No Rate,No Rate,No Rate
9,What If...?,2021,7.6,51959,Animation.Action.Adventure,NULL,Series,TV-14,18,None,Moderate,Mild,Mild,Moderate
10,Sex Education,2021,8.3,220201,Comedy.Drama,45,Series,TV-MA,25,Severe,Mild,Severe,Moderate,Mild
11,The Walking Dead,2021,8.2,906327,Drama.Horror.Thriller,44,Series,TV-14,177,Mild,Severe,Moderate,Mild,Severe
12,The Chestnut Man,2021,7.9,15434,Crime.Drama.Mystery,50,Series,TV-MA,6,Mild,Moderate,Mild,None,Moderate
13,Foundation,2021,7.4,16675,Drama.Sci-Fi,NULL,Series,TV-14,11,Mild,Moderate,Mild,No Rate,Mild
14,The Sopranos,2021,9.2,340006,Crime.Drama,55,Series,TV-MA,86,Severe,Severe,Severe,Severe,Severe
15,Only Murders in the Building,2021,8.3,22988,Comedy.Crime.Drama,NULL,Series,TV-MA,11,Mild,Moderate,Severe,Mild,Mild
16,American Horror Story,2021,8,296306,Drama.Horror.Thriller,60,Series,TV-MA,116,Severe,Severe,Severe,Severe,Severe
17,Seinfeld,2021,8.8,272028,Comedy,22,Series,TV-PG,174,Mild,Mild,Mild,Mild,None
18,Grey's Anatomy,2021,7.5,275094,Drama.Romance,41,Series,TV-14,384,Moderate,Severe,Mild,Moderate,Moderate
19,Game of Thrones,2021,9.2,1885776,Action.Adventure.Drama,57,Series,TV-MA,73,Severe,Severe,Severe,Moderate,Severe
20,Black Widow,2021,6.8,246603,Action.Adventure.Sci-Fi,134,Film,PG-13,1,None,Moderate,Mild,Mild,Moderate
21,The Last Duel,2021,7.7,6498,Action.Drama.History,152,Film,R,1,Severe,Severe,Moderate,Mild,Severe
22,Alice in Borderland,2021,7.7,33151,Action.Fantasy.Mystery,50,Series,TV-MA,9,Moderate,Severe,Mild,Mild,Severe
23,Shang-Chi and the Legend of the Ten Rings,2021,7.9,109552,Action.Adventure.Fantasy,132,Film,PG-13,1,None,Moderate,Mild,Mild,Mild
24,Billions,2021,8.4,80562,Drama,60,Series,TV-MA,72,Moderate,None,Severe,Moderate,None
25,Resident Evil: Welcome to Raccoon City,2021,NULL,NULL,Action.Horror.Mystery,107,Film,R,1,No Rate,No Rate,No Rate,No Rate,No Rate
26,Spectre,2015,6.8,407514,Action.Adventure.Thriller,148,Film,PG-13,1,Mild,Moderate,Mild,Mild,Moderate
27,Casino Royale,2006,8,613873,Action.Adventure.Thriller,144,Film,PG-13,1,Mild,Moderate,Mild,Mild,Moderate
28,Lucifer,2006,8.1,288801,Crime.Drama.Fantasy,42,Series,TV-14,93,Mild,Mild,Mild,Moderate,Mild
29,The Morning Show,2006,8.4,73736,Drama,60,Series,TV-MA,20,Mild,None,Severe,Mild,Mild
30,Halloween Kills,2021,6.1,20383,Horror.Thriller,105,Film,R,1,None,Severe,Severe,Mild,Severe
31,There's Someone Inside Your House,2021,4.8,7724,Horror.Mystery.Thriller,96,Film,TV-MA,1,Mild,Severe,Moderate,Moderate,Moderate
32,Malignant,2021,6.3,53310,Crime.Horror.Mystery,111,Film,R,1,None,Severe,Moderate,None,Severe
33,Wolf,2021,4.1,229,Drama.Mystery.Thriller,98,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
34,La casa de papel,2021,8.2,393487,Action.Crime.Drama,70,Series,TV-MA,41,Moderate,Moderate,Moderate,Mild,Moderate
35,Tick.Tick...Boom!,2021,NULL,NULL,Biography.Drama.Musical,115,Film,PG-13,1,No Rate,No Rate,No Rate,No Rate,No Rate
36,The Night House,2020,6.5,14936,Horror.Mystery.Thriller,107,Film,R,1,Mild,Moderate,Moderate,Moderate,Severe
37,Succession,2020,8.7,66106,Drama,60,Series,TV-MA,29,Moderate,Mild,Severe,Moderate,None
38,La Brea,2020,5.2,3198,Drama.Mystery.Sci-Fi,NULL,Series,TV-14,5,None,Mild,No Rate,Mild,Mild
39,Venom,2018,6.7,414787,Action.Adventure.Sci-Fi,112,Film,PG-13,1,Mild,Moderate,Moderate,Mild,Moderate
40,Skyfall,2012,7.8,658977,Action.Adventure.Thriller,143,Film,PG-13,1,Mild,Moderate,Mild,Mild,Moderate
41,NCIS: Naval Criminal Investigative Service,2012,7.7,130626,Action.Crime.Drama,60,Series,TV-14,420,Mild,Moderate,Mild,Mild,Moderate
42,See,2012,7.6,59581,Action.Drama.Sci-Fi,60,Series,TV-MA,17,Moderate,Severe,Moderate,None,Moderate
43,The Addams Family 2,2021,5.3,3798,Animation.Adventure.Comedy,93,Film,PG,1,Mild,Moderate,None,None,Mild
44,Big Sky,2021,6.8,11483,Crime.Drama.Mystery,60,Series,TV-14,20,Mild,Moderate,Mild,Mild,Moderate
45,Peaky Blinders,2021,8.8,416006,Crime.Drama,60,Series,TV-MA,36,Severe,Severe,Severe,Severe,Moderate
46,What We Do in the Shadows,2021,8.5,50078,Comedy.Fantasy.Horror,30,Series,TV-MA,31,Moderate,Moderate,Moderate,Mild,Mild
47,Titane,2021,7.2,6076,Drama.Horror.Sci-Fi,108,Film,R,1,Severe,Severe,Severe,Moderate,Severe
48,American Crime Story,2021,8.4,87503,Biography.Crime.Drama,42,Series,TV-MA,30,Moderate,Severe,Severe,Moderate,Severe
49,CSI: Vegas,2021,7.8,1313,Crime,NULL,Series,TV-14,10,No Rate,No Rate,No Rate,No Rate,No Rate
50,Stranger Things,2021,8.7,918729,Drama.Fantasy.Horror,51,Series,TV-14,34,Mild,Moderate,Moderate,Mild,Moderate
51,Titans,2021,7.6,82808,Action.Adventure.Crime,45,Series,TV-MA,37,Moderate,Severe,Severe,Mild,Moderate
52,Goliath,2021,8.2,40575,Drama,60,Series,TV-MA,32,Moderate,Moderate,Severe,Severe,Moderate
53,Breaking Bad,2021,9.4,1593305,Crime.Drama.Thriller,49,Series,TV-MA,62,Mild,Severe,Moderate,Severe,Severe
54,On My Block,2021,8,13772,Comedy.Drama,30,Series,TV-14,38,Mild,Moderate,Moderate,Moderate,Mild
55,Old,2021,5.8,52713,Drama.Horror.Mystery,108,Film,PG-13,1,Mild,Moderate,Mild,None,Moderate
56,Y: The Last Man,2021,6.3,7780,Action.Adventure.Drama,60,Series,TV-14,10,Mild,Moderate,Moderate,No Rate,No Rate
57,The Rookie,2021,8,27281,Comedy.Crime.Drama,43,Series,TV-14,59,Mild,Moderate,Mild,Moderate,Mild
58,No One Gets Out Alive,2021,5.3,7573,Drama.Horror.Mystery,85,Film,R,1,None,Severe,Severe,No Rate,Severe
59,Law & Order: Special Victims Unit,2021,8,92115,Crime.Drama.Mystery,60,Series,TV-14,502,Moderate,Moderate,Moderate,Moderate,Severe
60,Hocus Pocus,1993,6.9,110741,Comedy.Family.Fantasy,96,Film,PG,1,Mild,Mild,Mild,Mild,Moderate
61,The Office,1993,8.9,475207,Comedy,22,Series,TV-14,188,Mild,None,Mild,Mild,None
62,Chicago Fire,1993,8,46774,Action.Drama,43,Series,TV-14,202,Mild,Moderate,Mild,Mild,Mild
63,Dune,1984,6.4,142157,Action.Adventure.Sci-Fi,137,Film,PG-13,1,Mild,Moderate,None,Mild,Moderate
64,You,1984,7.7,173763,Crime.Drama.Romance,45,Series,TV-MA,31,Moderate,Moderate,Mild,Mild,Moderate
65,Den skyldige,2018,7.5,52965,Crime.Drama.Thriller,85,Film,R,1,None,None,Mild,None,Moderate
66,Quantum of Solace,2008,6.6,424649,Action.Adventure.Thriller,106,Film,PG-13,1,Mild,Moderate,Mild,Mild,Moderate
67,Doom Patrol,2008,7.9,43676,Action.Adventure.Comedy,60,Series,TV-MA,35,Moderate,Severe,Severe,Mild,Moderate
68,Yellowstone,2008,8.6,48060,Drama.Western,60,Series,TV-MA,32,Moderate,Moderate,Severe,Moderate,Moderate
69,The Suicide Squad,2021,7.3,224344,Action.Adventure.Comedy,132,Film,R,1,Moderate,Severe,Severe,Moderate,Severe
70,Friends,2021,8.8,903947,Comedy.Romance,22,Series,TV-PG,235,Mild,None,Mild,Mild,None
71,Eternals,2021,NULL,NULL,Action.Adventure.Drama,157,Film,PG-13,1,No Rate,No Rate,No Rate,No Rate,No Rate
72,Brooklyn Nine-Nine,2021,8.4,267096,Comedy.Crime,22,Series,TV-14,153,Mild,Mild,Mild,Mild,Mild
73,Cruella,2021,7.4,174071,Adventure.Comedy.Crime,134,Film,PG-13,1,None,Mild,Mild,Mild,Mild
74,The Blacklist,2021,8,219628,Crime.Drama.Mystery,43,Series,TV-14,177,None,Moderate,Mild,Mild,Mild
75,Supernatural,2021,8.4,411255,Drama.Fantasy.Horror,44,Series,TV-14,327,Mild,Moderate,Mild,Mild,Moderate
76,Downton Abbey,2021,8.7,180688,Drama.Romance,58,Series,TV-PG,52,Mild,Mild,Mild,Mild,Mild
77,Animal Kingdom,2021,8.2,30515,Crime.Drama,60,Series,TV-MA,75,Moderate,Moderate,Moderate,Severe,Moderate
78,Criminal Minds,2021,8.1,177854,Crime.Drama.Mystery,42,Series,TV-14,323,Mild,Severe,Mild,Mild,Severe
79,Halloween,1978,7.7,248788,Horror.Thriller,91,Film,R,1,Moderate,Moderate,Mild,Mild,Severe
80,Vigil,1978,7.3,10126,Crime.Drama.Mystery,NULL,Series,TV-MA,6,Mild,Moderate,Moderate,Moderate,Moderate
81,Infinite,2021,5.5,32451,Action.Sci-Fi.Thriller,106,Film,PG-13,1,None,Moderate,Moderate,Mild,Moderate
82,V/H/S/94,2021,5.5,3196,Horror.Mystery.Thriller,103,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
83,The Good Doctor,2021,8.1,78703,Drama,41,Series,TV-14,80,Mild,Moderate,Mild,Mild,Mild
84,Dexter,2021,8.6,678377,Crime.Drama.Mystery,53,Series,TV-MA,96,Moderate,Severe,Severe,Mild,Severe
85,The Green Knight,2021,6.6,53565,Adventure.Drama.Fantasy,130,Film,R,1,Moderate,Moderate,None,Mild,Moderate
86,Last Man Down,2021,NULL,NULL,Action,87,Film,R,1,No Rate,No Rate,No Rate,No Rate,No Rate
87,The French Dispatch,2021,7.4,1370,Comedy.Drama.Romance,108,Film,R,1,Moderate,Mild,Moderate,Moderate,Mild
88,The Boys,2021,8.7,316047,Action.Crime.Drama,60,Series,TV-MA,24,Severe,Severe,Severe,Moderate,Severe
89,Ridley Road,2021,6.6,704,Thriller,NULL,Series,NULL,4,No Rate,No Rate,No Rate,No Rate,No Rate
90,Vikings,2021,8.5,472761,Action.Adventure.Drama,44,Series,TV-MA,93,Severe,Severe,Mild,Mild,Severe
91,Spider-Man: No Way Home,2021,NULL,NULL,Action.Adventure.Sci-Fi,NULL,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
92,Silent Witness,2021,7.8,7917,Crime.Drama.Mystery,120,Series,TV-14,232,Severe,Severe,Moderate,Moderate,Severe
93,Ghosts,2021,7,1343,Comedy.Fantasy,NULL,Series,NULL,6,No Rate,No Rate,No Rate,No Rate,No Rate
94,The Card Counter,2021,6.2,9236,Crime.Drama.Thriller,111,Film,R,1,Moderate,Moderate,Moderate,Mild,Severe
95,Lamb,2021,6.7,2251,Drama.Horror.Mystery,106,Film,R,1,Moderate,Moderate,Mild,Mild,Moderate
96,Midsomer Murders,2021,7.8,28198,Crime.Drama.Mystery,90,Series,TV-14,132,Mild,Moderate,Mild,Mild,Moderate
97,Rick and Morty,2021,9.2,436882,Animation.Adventure.Comedy,23,Series,TV-MA,52,Moderate,Severe,Severe,Severe,Moderate
98,After We Fell,2021,5,2719,Drama,98,Film,R,1,Moderate,Mild,Moderate,Moderate,Mild
99,Riverdale,2021,6.7,130524,Crime.Drama.Mystery,45,Series,TV-14,98,Moderate,Moderate,Mild,Moderate,Moderate
100,The Harder They Fall,2021,5.2,315,Drama.Western,130,Film,R,1,Mild,Severe,Moderate,Moderate,Severe
101,Licorice Pizza,2021,NULL,NULL,Comedy.Drama,NULL,Film,R,1,No Rate,No Rate,No Rate,No Rate,No Rate
102,Chicago Med,2021,7.6,20080,Drama,43,Series,TV-14,126,Mild,Moderate,Mild,Mild,Moderate
103,The Lost Symbol,2021,6.7,2851,Action.Adventure.Drama,NULL,Series,TV-PG,8,None,Mild,Mild,None,Mild
104,Star Wars: Visions,2021,7.2,9175,Animation.Action.Adventure,NULL,Series,TV-PG,9,None,Mild,None,No Rate,Mild
105,Promising Young Woman,2020,7.5,132936,Crime.Drama.Thriller,113,Film,R,1,Mild,Moderate,Severe,Moderate,Moderate
106,Modern Family,2020,8.4,388093,Comedy.Drama.Romance,22,Series,TV-PG,250,Mild,None,Mild,Mild,None
107,The Mandalorian,2020,8.8,359850,Action.Adventure.Sci-Fi,40,Series,TV-14,24,None,Moderate,None,None,Moderate
108,Queenpins,2021,6.2,3525,Comedy.Crime,110,Film,R,1,None,None,Moderate,None,None
109,The Big Bang Theory,2021,8.1,753761,Comedy.Romance,22,Series,TV-PG,280,Mild,None,Mild,Mild,None
110,The Wire,2021,9.3,306334,Crime.Drama.Thriller,59,Series,TV-MA,60,Severe,Severe,Severe,Severe,Severe
111,Doctor Who,2021,8.6,207605,Adventure.Drama.Family,45,Series,TV-PG,200,None,Mild,Mild,None,Moderate
112,Candyman,2021,6,35936,Horror.Thriller,91,Film,R,1,None,Severe,Moderate,Mild,Severe
113,The White Lotus,2021,7.7,37058,Comedy.Drama,353,Series,TV-MA,7,Moderate,Mild,Moderate,Severe,None
114,The Witcher,2021,8.2,353732,Action.Adventure.Fantasy,60,Series,TV-MA,17,Severe,Severe,Moderate,Mild,Moderate
115,The Starling,2021,6.3,6994,Comedy.Drama,102,Film,PG-13,1,Mild,None,Mild,Mild,None
116,Kate,2021,6.3,41301,Action.Adventure.Crime,106,Film,R,1,Mild,Severe,Severe,Mild,Moderate
117,The Sandman,2021,NULL,NULL,Action.Adventure.Drama,NULL,Series,NULL,11,No Rate,No Rate,No Rate,No Rate,No Rate
118,Knives Out,2019,7.9,537031,Comedy.Crime.Drama,130,Film,PG-13,1,None,Mild,Moderate,Mild,Mild
119,New Amsterdam,2019,8.1,30554,Drama,43,Series,TV-14,61,Mild,Moderate,Mild,Moderate,Moderate
120,Cry Macho,2021,5.8,13148,Drama.Thriller.Western,104,Film,PG-13,1,Mild,Mild,Moderate,Mild,Mild
121,Castle,2021,8.1,146732,Comedy.Crime.Drama,43,Series,TV-14,173,Mild,Moderate,Mild,Mild,Moderate
122,Black Mirror,2021,8.8,482062,Drama.Sci-Fi.Thriller,60,Series,TV-MA,22,Severe,Severe,Severe,Mild,Severe
123,Law & Order: Organized Crime,2021,7.6,4267,Crime.Drama.Mystery,NULL,Series,TV-14,14,Mild,Moderate,Moderate,Moderate,Moderate
124,Till Death,2021,5.8,12586,Horror.Thriller,88,Film,R,1,Mild,Severe,Moderate,Mild,Moderate
125,The Voyeurs,2021,5.9,10281,Drama.Mystery.Thriller,120,Film,R,1,Severe,Moderate,Mild,Moderate,Moderate
126,The Crown,2021,8.6,176135,Biography.Drama.History,58,Series,TV-MA,60,Moderate,Mild,Mild,Mild,Mild
127,Better Call Saul,2021,8.8,359684,Crime.Drama,46,Series,TV-MA,63,Mild,Moderate,Moderate,Moderate,Moderate
128,The Handmaid's Tale,2021,8.4,204512,Drama.Sci-Fi.Thriller,60,Series,TV-MA,47,Severe,Severe,Moderate,Mild,Severe
129,Lost,2021,8.3,520422,Adventure.Drama.Fantasy,44,Series,TV-14,119,Mild,Moderate,Mild,Moderate,Moderate
130,Outlander,2021,8.4,138887,Drama.Fantasy.Romance,64,Series,TV-MA,87,Severe,Severe,Moderate,Mild,Moderate
131,The Simpsons,2021,8.6,381626,Animation.Comedy,22,Series,TV-PG,731,Moderate,Moderate,Mild,Moderate,Mild
132,Dear Evan Hansen,2021,6,5468,Drama.Musical,137,Film,PG-13,1,Mild,None,Mild,Mild,Mild
133,CSI: Crime Scene Investigation,2021,7.6,80011,Crime.Drama.Mystery,60,Series,TV-14,336,Mild,Severe,Mild,Mild,Moderate
134,Loki,2021,8.3,208457,Action.Adventure.Fantasy,NULL,Series,TV-14,7,None,Moderate,Mild,None,Moderate
135,It's Always Sunny in Philadelphia,2021,8.8,201983,Comedy,22,Series,TV-MA,157,Moderate,Mild,Severe,Severe,Mild
136,Hypnotic,2021,NULL,NULL,Drama.Horror.Thriller,88,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
137,Superstore,2021,7.8,39602,Comedy,22,Series,TV-14,113,Mild,Mild,Mild,Mild,None
138,The Resident,2021,7.7,22186,Drama,60,Series,TV-14,76,Mild,Mild,Mild,Mild,Mild
139,Gisaengchung,2019,8.6,669620,Comedy.Drama.Thriller,132,Film,R,1,Moderate,Severe,Moderate,Mild,Moderate
140,Mr.Robot,2019,8.5,354297,Crime.Drama.Thriller,49,Series,TV-MA,45,Moderate,Severe,Severe,Severe,Severe
141,Last Night in Soho,2021,7.4,1122,Drama.Horror.Mystery,116,Film,R,1,Moderate,Moderate,Moderate,Mild,Moderate
142,Titanic,1997,7.8,1096676,Drama.Romance,194,Film,PG-13,1,Moderate,Moderate,Moderate,Mild,Severe
