content_id,nudity_level,violence_level,profanity_level,alcohol_level,frightening_level
1,Mild,Moderate,Mild,Mild,Moderate
2,None,None,Severe,None,Moderate
3,Moderate,Severe,Severe,Moderate,Moderate
4,None,Moderate,Moderate,Mild,Moderate
5,None,Moderate,None,Mild,Moderate
6,Mild,None,Severe,Mild,None
7,Mild,Moderate,Moderate,None,Mild
8,No Rate,No Rate,No Rate,No Rate,No Rate
9,None,Moderate,Mild,Mild,Moderate
10,Severe,Mild,Severe,Moderate,Mild
11,Mild,Severe,Moderate,Mild,Severe
12,Mild,Moderate,Mild,None,Moderate
13,Mild,Moderate,Mild,No Rate,Mild
14,Severe,Severe,Severe,Severe,Severe
15,Mild,Moderate,Severe,Mild,Mild
16,Severe,Severe,Severe,Severe,Severe
17,Mild,Mild,Mild,Mild,None
18,Moderate,Severe,Mild,Moderate,Moderate
19,Severe,Severe,Severe,Moderate,Severe
20,None,Moderate,Mild,Mild,Moderate
21,Severe,Severe,Moderate,Mild,Severe
22,Moderate,Severe,Mild,Mild,Severe
23,None,Moderate,Mild,Mild,Mild
24,Moderate,None,Severe,Moderate,None
25,No Rate,No Rate,No Rate,No Rate,No Rate
26,Mild,Moderate,Mild,Mild,Moderate
27,Mild,Moderate,Mild,Mild,Moderate
28,Mild,Mild,Mild,Moderate,Mild
29,Mild,None,Severe,Mild,Mild
30,None,Severe,Severe,Mild,Severe
31,Mild,Severe,Moderate,Moderate,Moderate
32,None,Severe,Moderate,None,Severe
33,No Rate,No Rate,No Rate,No Rate,No Rate
34,Moderate,Moderate,Moderate,Mild,Moderate
35,No Rate,No Rate,No Rate,No Rate,No Rate
36,Mild,Moderate,Moderate,Moderate,Severe
37,Moderate,Mild,Severe,Moderate,None
38,None,Mild,No Rate,Mild,Mild
39,Mild,Moderate,Moderate,Mild,Moderate
40,Mild,Moderate,Mild,Mild,Moderate
41,Mild,Moderate,Mild,Mild,Moderate
42,Moderate,Severe,Moderate,None,Moderate
43,Mild,Moderate,None,None,Mild
44,Mild,Moderate,Mild,Mild,Moderate
45,Severe,Severe,Severe,Severe,Moderate
46,Moderate,Moderate,Moderate,Mild,Mild
47,Severe,Severe,Severe,Moderate,Severe
48,Moderate,Severe,Severe,Moderate,Severe
49,No Rate,No Rate,No Rate,No Rate,No Rate
50,Mild,Moderate,Moderate,Mild,Moderate
51,Moderate,Severe,Severe,Mild,Moderate
52,Moderate,Moderate,Severe,Severe,Moderate
53,Mild,Severe,Moderate,Severe,Severe
54,Mild,Moderate,Moderate,Moderate,Mild
55,Mild,Moderate,Mild,None,Moderate
56,Mild,Moderate,Moderate,No Rate,No Rate
57,Mild,Moderate,Mild,Moderate,Mild
58,None,Severe,Severe,No Rate,Severe
59,Moderate,Moderate,Moderate,Moderate,Severe
60,Mild,Mild,Mild,Mild,Moderate
61,Mild,None,Mild,Mild,None
62,Mild,Moderate,Mild,Mild,Mild
63,Mild,Moderate,None,Mild,Moderate
64,Moderate,Moderate,Mild,Mild,Moderate
65,None,None,Mild,None,Moderate
66,Mild,Moderate,Mild,Mild,Moderate
67,Moderate,Severe,Severe,Mild,Moderate
68,Moderate,Moderate,Severe,Moderate,Moderate
69,Moderate,Severe,Severe,Moderate,Severe
70,Mild,None,Mild,Mild,None
71,No Rate,No Rate,No Rate,No Rate,No Rate
72,Mild,Mild,Mild,Mild,Mild
73,None,Mild,Mild,Mild,Mild
74,None,Moderate,Mild,Mild,Mild
75,Mild,Moderate,Mild,Mild,Moderate
76,Mild,Mild,Mild,Mild,Mild
77,Moderate,Moderate,Moderate,Severe,Moderate
78,Mild,Severe,Mild,Mild,Severe
79,Moderate,Moderate,Mild,Mild,Severe
80,Mild,Moderate,Moderate,Moderate,Moderate
81,None,Moderate,Moderate,Mild,Moderate
82,No Rate,No Rate,No Rate,No Rate,No Rate
83,Mild,Moderate,Mild,Mild,Mild
84,Moderate,Severe,Severe,Mild,Severe
85,Moderate,Moderate,None,Mild,Moderate
86,No Rate,No Rate,No Rate,No Rate,No Rate
87,Moderate,Mild,Moderate,Moderate,Mild
88,Severe,Severe,Severe,Moderate,Severe
89,No Rate,No Rate,No Rate,No Rate,No Rate
90,Severe,Severe,Mild,Mild,Severe
91,No Rate,No Rate,No Rate,No Rate,No Rate
92,Severe,Severe,Moderate,Moderate,Severe
93,No Rate,No Rate,No Rate,No Rate,No Rate
94,Moderate,Moderate,Moderate,Mild,Severe
95,Moderate,Moderate,Mild,Mild,Moderate
96,Mild,Moderate,Mild,Mild,Moderate
97,Moderate,Severe,Severe,Severe,Moderate
98,Moderate,Mild,Moderate,Moderate,Mild
99,Moderate,Moderate,Mild,Moderate,Moderate
100,Mild,Severe,Moderate,Moderate,Severe
101,No Rate,No Rate,No Rate,No Rate,No Rate
102,Mild,Moderate,Mild,Mild,Moderate
103,None,Mild,Mild,None,Mild
104,None,Mild,None,No Rate,Mild
105,Mild,Moderate,Severe,Moderate,Moderate
106,Mild,None,Mild,Mild,None
107,None,Moderate,None,None,Moderate
108,None,None,Moderate,None,None
109,Mild,None,Mild,Mild,None
110,Severe,Severe,Severe,Severe,Severe
111,None,Mild,Mild,None,Moderate
112,None,Severe,Moderate,Mild,Severe
113,Moderate,Mild,Moderate,Severe,None
114,Severe,Severe,Moderate,Mild,Moderate
115,Mild,None,Mild,Mild,None
116,Mild,Severe,Severe,Mild,Moderate
117,No Rate,No Rate,No Rate,No Rate,No Rate
118,None,Mild,Moderate,Mild,Mild
119,Mild,Moderate,Mild,Moderate,Moderate
120,Mild,Mild,Moderate,Mild,Mild
121,Mild,Moderate,Mild,Mild,Moderate
122,Severe,Severe,Severe,Mild,Severe
123,Mild,Moderate,Moderate,Moderate,Moderate
124,Mild,Severe,Moderate,Mild,Moderate
125,Severe,Moderate,Mild,Moderate,Moderate
126,Moderate,Mild,Mild,Mild,Mild
127,Mild,Moderate,Moderate,Moderate,Moderate
128,Severe,Severe,Moderate,Mild,Severe
129,Mild,Moderate,Mild,Moderate,Moderate
130,Severe,Severe,Moderate,Mild,Moderate
131,Moderate,Moderate,Mild,Moderate,Mild
132,Mild,None,Mild,Mild,Mild
133,Mild,Severe,Mild,Mild,Moderate
134,None,Moderate,Mild,None,Moderate
135,Moderate,Mild,Severe,Severe,Mild
136,No Rate,No Rate,No Rate,No Rate,No Rate
137,Mild,Mild,Mild,Mild,None
138,Mild,Mild,Mild,Mild,Mild
139,Moderate,Severe,Moderate,Mild,Moderate
140,Moderate,Severe,Severe,Severe,Severe
141,Moderate,Moderate,Moderate,Mild,Moderate
142,Moderate,Moderate,Moderate,Mild,Severe
143,No Rate,No Rate,No Rate,No Rate,No Rate
144,No Rate,No Rate,No Rate,No Rate,No Rate
145,Severe,Severe,Severe,Severe,Severe
146,No Rate,No Rate,No Rate,No Rate,No Rate
147,None,Moderate,Mild,Mild,Moderate
148,Mild,Severe,Moderate,Mild,Severe
149,Severe,Mild,Moderate,Moderate,Mild
150,Moderate,Severe,Severe,Severe,Moderate
151,Moderate,None,Mild,Moderate,None
152,No Rate,No Rate,No Rate,No Rate,No Rate
153,Mild,None,Mild,Mild,None
154,No Rate,No Rate,No Rate,No Rate,No Rate
155,No Rate,No Rate,No Rate,No Rate,No Rate
156,Mild,Mild,Mild,None,Mild
157,Mild,Moderate,Mild,Mild,Moderate
158,Mild,Mild,Mild,Moderate,None
159,Mild,Moderate,Mild,Mild,Moderate
160,Mild,Severe,Severe,Mild,Moderate
161,No Rate,No Rate,No Rate,No Rate,No Rate
162,Mild,Moderate,Mild,Moderate,Moderate
163,Severe,Moderate,Severe,Severe,Moderate
164,Moderate,Moderate,Moderate,Mild,Moderate
165,None,Mild,Mild,None,Moderate
166,Severe,Severe,Severe,Moderate,Moderate
167,Severe,No Rate,No Rate,No Rate,No Rate
168,Mild,Mild,Mild,Mild,None
169,Mild,Severe,Mild,Mild,Severe
170,Mild,None,Mild,None,None
171,Severe,Mild,Mild,Mild,Mild
172,Mild,Severe,Moderate,Mild,Severe
173,None,Mild,None,Mild,Mild
174,Mild,Moderate,Mild,Moderate,Moderate
175,Mild,Moderate,Mild,Moderate,Mild
176,Mild,Mild,Mild,Mild,Mild
177,Mild,Severe,Moderate,Mild,Severe
178,Mild,Mild,Moderate,Moderate,None
179,Mild,Severe,Severe,Moderate,Moderate
180,None,Mild,None,None,Mild
181,None,Moderate,None,Mild,Moderate
182,Mild,None,Mild,Mild,None
183,Severe,Severe,Severe,Severe,Severe
184,Mild,Severe,Mild,Mild,Moderate
185,Moderate,Severe,Severe,Moderate,Severe
186,None,Mild,Mild,Mild,Moderate
187,Moderate,Moderate,None,Moderate,Mild
188,Moderate,Moderate,Moderate,Mild,Moderate
189,Mild,Moderate,Mild,Mild,Severe
190,Mild,No Rate,No Rate,No Rate,No Rate
191,Mild,None,Moderate,Mild,None
192,No Rate,No Rate,No Rate,No Rate,No Rate
193,Moderate,Moderate,Mild,Moderate,Moderate
194,Mild,Mild,Mild,Severe,Mild
195,No Rate,Moderate,Moderate,Mild,Moderate
196,Mild,Moderate,Moderate,Mild,Moderate
197,None,Mild,Severe,Mild,Mild
198,Mild,Moderate,Mild,Mild,Moderate
199,No Rate,No Rate,No Rate,No Rate,No Rate
200,Severe,Moderate,Severe,Severe,Moderate
201,Moderate,Severe,Mild,Mild,Moderate
202,Mild,Moderate,Severe,Mild,Moderate
203,Mild,Mild,Mild,Mild,Moderate
204,Mild,Moderate,Mild,Mild,Moderate
205,None,Moderate,Mild,Mild,Moderate
206,Mild,Severe,Moderate,Mild,Severe
207,Mild,Severe,Moderate,Moderate,Severe
208,None,Mild,Mild,None,Mild
209,Moderate,None,Severe,Mild,None
210,None,Moderate,Mild,Mild,Moderate
211,Mild,Moderate,Moderate,Moderate,Severe
212,Mild,Mild,Mild,Mild,Mild
213,None,Moderate,Moderate,Mild,Moderate
214,Mild,Moderate,Mild,Mild,Mild
215,Moderate,Moderate,Severe,Severe,Mild
216,Moderate,Severe,Moderate,Severe,Severe
217,Severe,Severe,Moderate,Severe,Severe
218,Severe,None,Severe,Moderate,Severe
219,None,Severe,Mild,Mild,Moderate
220,Moderate,None,Severe,Mild,Mild
221,No Rate,No Rate,No Rate,No Rate,No Rate
222,No Rate,No Rate,No Rate,No Rate,No Rate
223,None,Moderate,Mild,Mild,Moderate
224,No Rate,No Rate,No Rate,No Rate,No Rate
225,None,Moderate,Mild,Mild,Mild
226,No Rate,No Rate,No Rate,No Rate,No Rate
227,Mild,Severe,Severe,Mild,Severe
228,No Rate,No Rate,No Rate,No Rate,No Rate
229,Mild,None,Mild,Mild,None
230,Mild,Mild,Moderate,Mild,None
231,No Rate,No Rate,No Rate,No Rate,No Rate
232,Moderate,Severe,Severe,Moderate,Mild
233,Mild,Moderate,Mild,No Rate,Moderate
234,Mild,Severe,Moderate,Mild,Severe
235,None,Moderate,Mild,Mild,Moderate
236,No Rate,No Rate,No Rate,No Rate,No Rate
237,Moderate,None,Mild,Mild,None
238,None,Severe,Mild,None,Severe
239,Mild,Moderate,Moderate,Mild,Moderate
240,Mild,Moderate,Mild,Mild,Moderate
241,Moderate,Moderate,Moderate,Mild,Moderate
242,None,Severe,Severe,Severe,Severe
243,Moderate,None,Moderate,Mild,None
244,Moderate,Moderate,Moderate,No Rate,No Rate
245,None,Moderate,Mild,Mild,None
246,Mild,None,Mild,Mild,Mild
247,Mild,Severe,Mild,None,Severe
248,None,None,Mild,Mild,None
249,None,Mild,Mild,None,Moderate
250,Mild,Moderate,Mild,Mild,Moderate
251,Moderate,Moderate,Mild,Mild,Moderate
252,Moderate,Severe,Moderate,Mild,Moderate
253,Moderate,Mild,Moderate,Severe,Moderate
254,None,Severe,Severe,Mild,Severe
255,None,None,None,None,None
256,Severe,None,Moderate,Mild,None
257,Moderate,Moderate,Mild,Mild,Moderate
258,Mild,Moderate,Moderate,Mild,Moderate
259,None,Mild,Mild,Mild,Mild
260,Moderate,None,Mild,Mild,None
261,None,Mild,None,None,Moderate
262,None,Mild,Mild,None,Moderate
263,Moderate,Mild,Mild,Mild,Mild
264,None,Moderate,Moderate,Mild,Moderate
265,Mild,Mild,Mild,Mild,Mild
266,Mild,Moderate,Mild,Mild,Mild
